,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate
13337,29482094,austin,78745,Single Family,1962,329000.0,3,1.4333333333333336,1
13338,119615580,austin,78739,Single Family,2013,525000.0,2,2.2333333333333334,0
13339,29331506,austin,78703,Single Family,1965,905000.0,7,1.0666666666666669,1
13340,29482091,austin,78745,Single Family,1962,499000.0,1,1.4,1
13341,29495735,austin,78749,Single Family,1986,309000.0,7,1.6666666666666667,0
13342,29510577,austin,78739,Single Family,1997,539900.0,1,1.6333333333333335,0
13343,29482090,austin,78745,Single Family,1962,299900.0,6,1.4,1
13344,29335389,austin,78703,Single Family,1948,789650.0,6,0.9666666666666668,1
13345,70335076,austin,78739,Single Family,2005,569000.0,4,1.7,0
13346,29329881,austin,78703,Single Family,1935,848500.0,3,0.6666666666666666,1
13347,29502075,austin,78739,Single Family,1989,325000.0,3,1.3666666666666665,0
13348,29499233,austin,78749,Single Family,1987,365000.0,7,1.1333333333333333,0
13349,89548588,austin,78745,Single Family,2008,420000.0,2,0.8666666666666667,1
13350,29508074,austin,78739,Single Family,1995,429000.0,2,1.6333333333333335,0
13351,29496005,austin,78749,Single Family,1991,350000.0,1,1.7666666666666666,0
13352,29327504,austin,78703,Single Family,1920,1200000.0,2,0.8000000000000002,1
13353,29482088,austin,78745,Single Family,2018,279000.0,1,1.3333333333333333,1
13354,29505074,austin,78739,Single Family,1989,415000.0,1,1.4333333333333336,0
13355,58314087,austin,78745,Multiple Occupancy,1977,169900.0,10,0.9666666666666665,1
13356,64483573,austin,78739,Single Family,2006,388500.0,13,1.5666666666666669,0
13357,29508071,austin,78739,Single Family,1995,475000.0,2,1.7,0
13358,29486087,austin,78745,Single Family,1973,269900.0,3,0.9,1
13359,29495724,austin,78749,Single Family,1987,310000.0,1,1.6,0
13360,58313583,austin,78745,Single Family,1967,475000.0,1,1.2333333333333334,1
13361,29502071,austin,78739,Single Family,1989,409000.0,5,1.4333333333333331,0
13362,64719718,austin,78749,Single Family,2003,499990.0,1,1.2,0
13363,125089082,austin,78745,Condo,2015,435000.0,1,0.6333333333333334,1
13364,29485080,austin,78745,Single Family,1971,81000.0,5,0.7333333333333334,1
13365,83829070,austin,78739,Single Family,2009,555000.0,1,1.5333333333333332,0
13366,29496217,austin,78749,Single Family,1998,349900.0,2,2.1666666666666665,0
13367,29486079,austin,78745,Single Family,1973,159900.0,5,0.8999999999999999,1
13368,29502070,austin,78739,Single Family,1988,579000.0,2,1.4333333333333331,0
13369,29496216,austin,78749,Single Family,1996,219000.0,6,2.2,0
13370,2079609078,austin,78745,Single Family,2012,429000.0,1,0.9333333333333332,1
13371,29502068,austin,78739,Single Family,1988,599444.0,2,1.4,0
13372,58314577,austin,78745,Single Family,1977,420000.0,2,0.9666666666666668,1
13373,29496712,austin,78749,Single Family,2001,399000.0,2,1.0333333333333334,0
13374,64795567,austin,78739,Single Family,2004,624900.0,1,1.8333333333333333,0
