Date,Sales,Dollar,Average,Median,Total,Months
,,Volume,Price,Price,Listings,Inventory
Jan-90,558,"46,937,286","84,117","71,000","4,391",7.9
Feb-90,444,"37,056,240","83,460","71,199","4,343",8.7
Mar-90,431,"34,722,653","80,563","72,497","4,459",9.3
Apr-90,569,"34,616,822","60,838","71,998","4,545",9.1
May-90,549,"44,907,102","81,798","73,694","4,731",9.3
Jun-90,711,"60,299,199","84,809","73,994","4,551",8.4
Jul-90,700,"62,972,700","89,961","72,896","4,756",8.4
Aug-90,765,"64,913,310","84,854","72,996","4,747",8
Sep-90,601,"49,149,780","81,780","73,694","4,633",7.8
Oct-90,629,"49,215,476","78,244","69,104","4,004",6.7
Nov-90,558,"46,937,286","84,117","71,000","3,942",6.7
Dec-90,553,"47,941,229","86,693","72,197","3,842",6.5
Jan-91,451,"37,497,042","83,142","71,299","3,763",6.5
Feb-91,415,"34,513,475","83,165","74,592","3,805",6.6
Mar-91,616,"48,169,352","78,197","70,800","3,787",6.4
Apr-91,637,"56,869,449","89,277","75,491","3,804",6.4
May-91,801,"69,216,012","86,412","73,295","3,712",6
Jun-91,807,"74,747,568","92,624","79,482","3,685",5.9
Jul-91,741,"71,514,651","96,511","81,578","3,639",5.8
Aug-91,645,"55,353,900","85,820","75,491","3,606",5.8
Sep-91,684,"58,387,608","85,362","75,291","3,432",5.5
Oct-91,606,"52,945,614","87,369","74,992","3,312",5.3
Nov-91,611,"57,212,207","93,637","76,688","3,192",5.1
Dec-91,471,"45,247,557","96,067","79,083","2,884",4.6
Jan-92,427,"37,592,226","88,038","76,389","2,643",4.3
Feb-92,438,"37,909,338","86,551","78,285","2,780",4.5
Mar-92,622,"60,085,822","96,601","83,773","2,944",4.7
Apr-92,712,"64,102,072","90,031","77,886","3,147",5
May-92,749,"68,831,602","91,898","80,480","3,287",5.3
Jun-92,827,"82,217,032","99,416","84,771","3,315",5.3
Jul-92,864,"84,530,304","97,836","84,272","3,305",5.2
Aug-92,848,"93,607,328","110,386","86,069","3,428",5.2
Sep-92,854,"83,533,156","97,814","81,777","3,013",4.5
Oct-92,755,"73,496,985","97,347","84,272","2,914",4.3
Nov-92,608,"76,448,704","125,738","86,767","2,948",4.3
Dec-92,685,"70,581,715","103,039","85,869","2,518",3.6
Jan-93,518,"50,790,936","98,052","84,572","2,546",3.6
Feb-93,510,"50,236,020","98,502","84,073","2,685",3.8
Mar-93,727,"76,185,238","104,794","87,865","2,690",3.7
Apr-93,808,"86,467,312","107,014","90,060","2,725",3.7
May-93,927,"102,786,687","110,881","93,054","2,789",3.7
Jun-93,"1,038","114,739,482","110,539","92,156","2,944",3.9
Jul-93,872,"100,112,576","114,808","94,351","2,951",3.9
Aug-93,"1,074","121,348,038","112,987","90,260","3,038",3.9
Sep-93,874,"98,440,368","112,632","89,362","3,116",4
Oct-93,837,"93,160,611","111,303","91,857","3,119",3.9
Nov-93,766,"91,193,066","119,051","95,150","3,078",3.8
Dec-93,833,"91,227,661","109,517","93,054","2,642",3.2
Jan-94,607,"69,733,374","114,882","95,349","2,759",3.4
Feb-94,635,"74,787,125","117,775","96,547","2,753",3.3
Mar-94,996,"111,622,716","112,071","93,254","2,948",3.4
Apr-94,947,"106,594,320","112,560","93,054","3,411",3.9
May-94,"1,027","113,248,317","110,271","91,258","4,214",4.8
Jun-94,"1,017","122,525,109","120,477","99,241","4,257",4.9
Jul-94,"1,025","118,697,050","115,802","93,952","4,312",4.9
Aug-94,"1,065","126,082,155","118,387","94,052","4,415",5
Sep-94,859,"102,139,395","118,905","98,643","3,798",4.3
Oct-94,763,"87,805,277","115,079","95,150","3,776",4.3
Nov-94,717,"85,220,469","118,857","97,345","3,709",4.2
Dec-94,760,"88,596,240","116,574","95,948","3,388",3.9
Jan-95,646,"74,451,500","115,250","94,451","3,250",3.7
Feb-95,646,"74,333,928","115,068","96,148","3,391",3.9
Mar-95,893,"108,904,029","121,953","100,638","3,566",4.1
Apr-95,848,"101,457,264","119,643","96,048","3,775",4.4
